nr,titel,artiest,jaar
1,Bohemian rhapsody,Queen,1975
2,Hotel California,Eagles,1977
3,Child in time,Deep Purple,1972
4,Stairway to heaven,Led Zeppelin,1972
5,Paradise by the dashboard light,Meat Loaf,1978
6,Yesterday,Beatles,1965
7,Imagine,John Lennon,1971
8,Angie,Rolling Stones,1973
9,Bridge over troubled water,Simon & Garfunkel,1970
10,A whiter shade of pale,Procol Harum,1967
11,Hey Jude,Beatles,1968
12,Riders on the storm,Doors,1971
13,The house of the rising sun,Animals,1964
14,Goodnight Saigon,Billy Joel,1983
15,Nights in white satin,Moody Blues,1968
16,Dancing queen,ABBA,1976
17,Another brick in the wall,Pink Floyd,1979
18,Sunday bloody sunday,U2,1985
19,Music,John Miles,1976
20,Sultans of swing,Dire Straits,1978
21,Tears in heaven,Eric Clapton,1992
22,Satisfaction,Rolling Stones,1965
23,Radar love,Golden Earring,1973
24,Old and wise,Alan Parsons Project,1982
25,Losing my religion,REM,1991
26,School,Supertramp,1975
27,Let it be,Beatles,1970
28,Brothers in arms,Dire Straits,1989
29,Sympathy for the devil,Rolling Stones,1973
30,Who wants to live forever,Queen,1992
31,Everybody hurts,REM,1993
32,Over de muur,Klein Orkest,1984
33,Paint it black,Rolling Stones,1966
34,Africa,Toto,1982
35,The winner takes it all,ABBA,1980
36,Het dorp,Wim Sonneveld,1974
37,Candle in the wind,Elton John,1997
38,Kayleigh,Marillion,1985
39,No woman no cry,Bob Marley & the Wailers,1975
40,Testament,Boudewijn de Groot,1966
41,My heart will go on,Celine Dion,1998
42,I'm not in love,10CC,1975
43,When the lady smiles,Golden Earring,1984
44,Niet of nooit geweest,Acda & De Munnik,1999
45,Summer of 69,Bryan Adams,1990
46,Bright eyes,Art Garfunkel,1979
47,The rose,Bette Midler,1980
48,The river,Bruce Springsteen,1981
49,Sounds of silence,Simon & Garfunkel,1966
50,Thank you for the music,ABBA,1978
51,With or without you,U2,1987
52,Good vibrations,Beach Boys,1966
53,Whole lotta Rosie,AC/DC,1978
54,Purple rain,Prince,1984
55,(Everything I do) I do it for you,Bryan Adams,1991
56,I put a spell on you,Creedence Clearwater Revival,1968
57,Private investigations,Dire Straits,1982
58,Pride,U2,1984
59,Space oddity,David Bowie,1969
60,Light my fire,Doors,1967
61,Sebastian,Cockney Rebel,1973
62,Dreadlock holiday,10CC,1978
63,Halo of flies,Alice Cooper,1973
64,Go your own way,Fleetwood Mac,1977
65,Stil in mij,Van Dik Hout,1994
66,Ne me quitte pas,Jacques Brel,1959
67,Wuthering heights,Kate Bush,1978
68,Paranoid,Black Sabbath,1970
69,Mr. Blue Sky,Electric Light Orchestra,1978
70,Heroes,David Bowie,1977
71,The year of the cat,Al Stewart,1977
72,In the air tonight,Phil Collins,1981
73,De vlieger,André Hazes,1977
74,Last Christmas,Wham,1984
75,I still haven't found what I'm looking for,U2,1987
76,The day before you came,ABBA,1982
77,Hey Joe,Jimi Hendrix Experience,1967
78,We are the champions,Queen,1977
79,Money,Pink Floyd,1973
80,Pastorale,Ramses Shaffy en Liesbeth List,1969
81,Thriller,Michael Jackson,1983
82,Somebody to love,Queen,1976
83,A day in a life,Beatles,1967
84,With a little help from my friends,Joe Cocker,1968
85,I want to break free,Queen,1984
86,Total eclipse of the heart,Bonnie Tyler,1983
87,Nikita,Elton John,1985
88,Roxanne,Police,1979
89,Careless whisper,George Michael,1984
90,Nothing compares 2 u,Sinead O’Connor,1990
91,Wonderful tonight,Eric Clapton,1988
92,Woman in love,Barbra Streisand,1980
93,Mama,Genesis,1983
94,Blowing in the wind,Bob Dylan,1963
95,Dust in the wind,Kansas,1978
96,Eternal flame,Bangles,1989
97,Strawberry fields forever,Beatles,1967
98,Against all odds,Phil Collins,1984
99,Every breath you take,Police,1983
100,Eloise,Barry Ryan,1968
101,Waterloo,ABBA,1974
102,Verdronken vlinder,Boudewijn de Groot,1970
103,Jeanny,Falco,1986
104,If you leave me now,Chicago,1976
105,32 jaar (Sinds een dag of twee),Doe Maar,1981
106,Non je ne regrette rien,Edith Piaf,1961
107,All along the watchtower,Jimi Hendrix Experience,1968
108,Staying alive,Bee Gees,1978
109,Con te partiro,Andrea Bocelli,1996
110,Hello,Lionel Richie,1984
111,In the ghetto,Elvis Presley,1969
112,Suspicious minds,Elvis Presley,1969
113,Another day in paradise,Phil Collins,1989
114,"Welterusten, mijnheer de President",Boudewijn de Groot,1966
115,My way,Frank Sinatra,1968
116,Papa,Stef Bos,1991
117,Dromen zijn bedrog,Marco Borsato,1994
118,How deep is your love,Bee Gees,1977
119,Born in the USA,Bruce Springsteen,1985
120,In nye dei,De Kast,1997
121,Piano man,Billy Joel,1974
122,Troy,Sinead O’Connor,1987
